Code,City,Country,Latitude,Longitude
COK,Kochi,India,10.152,76.401901
SHJ,Sharjah,United Arab Emirates,25.32859993,55.51720047
GIG,Rio De Janeiro,Brazil,-22.80999947,-43.25055695
BSB,Brasilia,Brazil,-15.86916733,-47.92083359
TSF,Treviso,Italy,45.648399,12.1944
BRI,Bari,Italy,41.138901,16.760599
CDG,Paris,France,49.012798,2.55
FLR,Florence,Italy,43.810001,11.2051
CGH,Sao Paulo,Brazil,-23.62611008,-46.65638733
CGB,Cuiaba,Brazil,-15.65289974,-56.11669922
DFW,Dallas-Fort Worth,United States,32.896801,-97.038002
YUL,Montreal,Canada,45.47060013,-73.74079895
DOM,Dominica,Dominica,15.547,-61.299999
PTP,Pointe-a-pitre,Guadeloupe,16.265301,-61.531799
ATL,Atlanta,United States,33.6367,-84.428101
FCO,Rome,Italy,41.8002778,12.2388889
FUE,Fuerteventura,Spain,28.45269966,-13.86380005
BCN,Barcelona,Spain,41.2971,2.07846
BRS,Bristol,United Kingdom,51.382702,-2.71909
CHQ,Chania,Greece,35.53170013,24.14970016
MNL,Manila,Philippines,14.5086,121.019997
FUK,Fukuoka,Japan,33.58589935,130.451004
MED,Madinah,Saudi Arabia,24.5534,39.705101
DOH,Doha,Qatar,25.273056,51.608056
DUS,Duesseldorf,Germany,51.289501,6.76678
CTA,Catania,Italy,37.466801,15.0664
IOS,Ilheus,Brazil,-14.81599998,-39.03319931
SZX,Shenzhen,China,22.63929939,113.810997
CZX,Changzhou,China,31.919701,119.778999
CAN,Guangzhou,China,23.39240074,113.2990036
YIH,Yichang,China,30.55655,111.479988
BHX,Birmingham,United Kingdom,52.45389938,-1.748029947
FRA,Frankfurt,Germany,50.033333,8.570556
GVA,Geneva,Switzerland,46.23809814,6.108950138
RAK,Marrakech,Morocco,31.60689926,-8.036299706
IND,Indianapolis,United States,39.7173,-86.294403
CLE,Cleveland,United States,41.4117012,-81.84980011
TTN,Trenton,United States,40.27669907,-74.81349945
SMF,Sacramento,United States,38.69540024,-121.5910034
IAD,Washington,United States,38.94449997,-77.45580292
ADB,Izmir,Turkey,38.29240036,27.15699959
MAN,Manchester,United Kingdom,53.35369873,-2.274950027
IBZ,Ibiza,Spain,38.8728981,1.37311995
TYN,Taiyuan,China,37.74689865,112.6279984
URC,Urumqi,China,43.90710068,87.47419739
TFN,Tenerife,Spain,28.48270035,-16.34149933
SPC,Santa Cruz De La Palma,Spain,28.626499,-17.7556
RMQ,Taichung,Taiwan,24.26469994,120.6210022
