Airport 1,Airport 2,Distance
COK,SHJ,2774.43019643124
GIG,BSB,913.9722810395737
TSF,BRI,622.3073996308431
CDG,FLR,879.3473737244514
CGH,CGB,1328.5922683172214
DFW,YUL,2432.255660049763
DOM,PTP,83.6295667487926
ATL,FCO,8085.357759526788
FUE,BCN,2031.894984004428
BRS,CHQ,2767.241943914987
MNL,FUK,2324.456232491844
MED,DOH,1202.6572734042059
DUS,CTA,1670.0113596395804
CGH,IOS,1264.3270296969754
SZX,CZX,1187.9924160592366
CAN,YIH,816.7120663905756
BHX,FRA,766.2069131607295
GVA,RAK,2029.0700138705624
IND,ATL,696.2662632954172
CLE,TTN,604.9994581708467
SMF,IAD,3785.3060768321707
BHX,ADB,2723.295640878456
MAN,IBZ,1634.0119473630732
TYN,URC,2214.388854123437
TFN,SPC,139.03618338865425
RMQ,XMN,254.34114982487685
SJC,AUS,2371.4150318359434
NCE,JFK,6406.850171136094
CLT,EWR,850.2875701047759
ACC,DXB,6288.971378116725
EVN,KUF,1547.5055465968694
URC,PEK,2430.060777210015
TYN,HGH,1102.1240193086132
SIN,SGN,1093.0181560320273
XIY,LXA,1776.3093381923125
TXL,PEK,7356.367978070794
KAN,JED,3423.2140299168695
SIN,PLM,478.87980324218023
SAL,DFW,2309.986727106386
BOS,YUL,408.98408004284465
OUA,NIM,419.75711167533245
FCO,NTE,1247.1755056732675
AMS,CPH,633.38560490254
VCE,MUC,319.6374931488725
AHO,MXP,556.9380052054848
TFS,PAD,3355.7251860124707
RUN,DZA,1410.686619574828
MEM,SAT,1005.5723835060428
DME,KZN,715.6503388910306
GRU,IST,10559.421767572445
CTU,JZH,254.18670529881774
KBP,IST,1021.9732556645055
KMG,NKG,1721.6770603418972
CGK,JOG,455.92932290118125
PHL,PHX,3332.828849552172
CTU,LZY,936.6223939823473
GXF,SAH,492.01442838253774
SOU,NCE,1035.5121804613361
ASP,MEL,1859.8187725014784
SGN,FUK,3504.268698337565
DAC,KTM,661.7872645368927
SFO,RDD,321.43164046453506
MSN,ORD,174.47739590315172
HFE,XMN,808.701100138063
TOS,ALC,3677.9248783461007
CDG,DTW,6359.075722444024
OMS,GYD,2351.7110570596406
SJW,LJG,1866.714593562787
ZRH,YUL,5995.707941252902
MAO,BSB,1948.6126672579496
MSY,AUS,713.29701770946
KMG,CSX,1078.3696822719867
DWC,KRT,2570.626605059145
TXL,SZG,530.3830816864315
CAN,NRT,2944.431880674628
DAU,POM,442.07463002273045
IND,DFW,1223.9907300179013
ORD,SFO,2963.967282891265
LAX,GDL,2105.689173254819
LPB,CBB,236.90423847946366
AUH,MAA,2965.947814589324
VRA,YUL,2590.073805504637
PSA,ORY,832.4258895002297
RMF,CAI,595.9772372545909
NOJ,UFA,1460.4109087822164
MHH,FLL,309.8314354956461
BKK,ARN,8296.219018556318
CTU,SJW,1304.280906654684
MXP,SVO,2296.6866050204267
